region,i,j,z_level,x (mm),y (mm),z (um),time
R0,12,11,0,32.20958125,11.45143125,2719.1718750000005,2024-11-12_15-53-01.138913
R0,11,11,0,31.80953125,11.45143125,2719.1718750000005,2024-11-12_15-53-02.428785
R0,10,11,0,31.40948125,11.45143125,2719.1718750000005,2024-11-12_15-53-03.732772
R0,9,11,0,31.00943125,11.45143125,2719.1718750000005,2024-11-12_15-53-05.030627
R0,8,11,0,30.60938125,11.45143125,2719.1718750000005,2024-11-12_15-53-06.350652
R0,7,11,0,30.20933125,11.45143125,2719.1718750000005,2024-11-12_15-53-07.653530
R0,6,11,0,29.80928125,11.45143125,2719.1718750000005,2024-11-12_15-53-08.981556
R0,5,11,0,29.40923125,11.45143125,2719.1718750000005,2024-11-12_15-53-10.295250
R0,4,11,0,29.00918125,11.45143125,2719.1718750000005,2024-11-12_15-53-11.601607
R0,3,11,0,28.60913125,11.45143125,2719.1718750000005,2024-11-12_15-53-12.919268
R0,2,11,0,28.20908125,11.45143125,2719.1718750000005,2024-11-12_15-53-14.211227
R0,1,11,0,27.80903125,11.45143125,2719.1718750000005,2024-11-12_15-53-15.504385
R0,0,11,0,27.40898125,11.45143125,2719.1718750000005,2024-11-12_15-53-16.818585
R0,0,12,0,27.40898125,11.85148125,2719.1718750000005,2024-11-12_15-53-18.118949
R0,1,12,0,27.80903125,11.85148125,2719.1718750000005,2024-11-12_15-53-19.403631
R0,2,12,0,28.20908125,11.85148125,2719.1718750000005,2024-11-12_15-53-20.714577
R0,3,12,0,28.60913125,11.85148125,2719.1718750000005,2024-11-12_15-53-22.025944
R0,4,12,0,29.00918125,11.85148125,2719.1718750000005,2024-11-12_15-53-23.360799
R0,5,12,0,29.40923125,11.85148125,2719.1718750000005,2024-11-12_15-53-24.664881
R0,6,12,0,29.80928125,11.85148125,2719.1718750000005,2024-11-12_15-53-25.986129
R0,7,12,0,30.20933125,11.85148125,2719.1718750000005,2024-11-12_15-53-27.370454
R0,8,12,0,30.60938125,11.85148125,2719.1718750000005,2024-11-12_15-53-28.788151
R0,9,12,0,31.00943125,11.85148125,2719.1718750000005,2024-11-12_15-53-30.131558
R0,10,12,0,31.40948125,11.85148125,2719.1718750000005,2024-11-12_15-53-31.415283
R0,11,12,0,31.80953125,11.85148125,2719.1718750000005,2024-11-12_15-53-32.685216
R0,12,12,0,32.20958125,11.85148125,2719.1718750000005,2024-11-12_15-53-33.992644
R0,13,12,0,32.60963125,11.85148125,2719.1718750000005,2024-11-12_15-53-35.299445
R0,14,12,0,33.00968125,11.85148125,2719.1718750000005,2024-11-12_15-53-36.612661
R0,14,13,0,33.00968125,12.25153125,2719.1718750000005,2024-11-12_15-53-37.931533
R0,13,13,0,32.60963125,12.25153125,2719.1718750000005,2024-11-12_15-53-39.624496
R0,12,13,0,32.20958125,12.25153125,2719.1718750000005,2024-11-12_15-53-40.910338
R0,11,13,0,31.80953125,12.25153125,2719.1718750000005,2024-11-12_15-53-42.195557
R0,10,13,0,31.40948125,12.25153125,2719.1718750000005,2024-11-12_15-53-43.480437
R0,9,13,0,31.00943125,12.25153125,2719.1718750000005,2024-11-12_15-53-44.810102
R0,8,13,0,30.60938125,12.25153125,2719.1718750000005,2024-11-12_15-53-46.087326
R0,7,13,0,30.20933125,12.25153125,2719.1718750000005,2024-11-12_15-53-47.372276
R0,6,13,0,29.80928125,12.25153125,2719.1718750000005,2024-11-12_15-53-48.659443
R0,5,13,0,29.40923125,12.25153125,2719.1718750000005,2024-11-12_15-53-49.930100
R0,4,13,0,29.00918125,12.25153125,2719.1718750000005,2024-11-12_15-53-51.204345
R0,3,13,0,28.60913125,12.25153125,2719.1718750000005,2024-11-12_15-53-52.481053
R0,2,13,0,28.20908125,12.25153125,2719.1718750000005,2024-11-12_15-53-53.800716
R0,1,13,0,27.80903125,12.25153125,2719.1718750000005,2024-11-12_15-53-55.144070
R0,0,13,0,27.40898125,12.25153125,2719.1718750000005,2024-11-12_15-53-56.489717
R0,0,14,0,27.40898125,12.65158125,2719.1718750000005,2024-11-12_15-53-57.794394
R0,1,14,0,27.80903125,12.65158125,2719.1718750000005,2024-11-12_15-53-59.106533
R0,2,14,0,28.20908125,12.65158125,2719.1718750000005,2024-11-12_15-54-00.501237
R0,3,14,0,28.60913125,12.65158125,2719.1718750000005,2024-11-12_15-54-01.878563
R0,4,14,0,29.00918125,12.65158125,2719.1718750000005,2024-11-12_15-54-03.269996
R0,5,14,0,29.40923125,12.65158125,2719.1718750000005,2024-11-12_15-54-04.660479
R0,6,14,0,29.80928125,12.65158125,2719.1718750000005,2024-11-12_15-54-06.045466
R0,7,14,0,30.20933125,12.65158125,2719.1718750000005,2024-11-12_15-54-07.455917
R0,8,14,0,30.60938125,12.65158125,2719.1718750000005,2024-11-12_15-54-08.874232
R0,9,14,0,31.00943125,12.65158125,2719.1718750000005,2024-11-12_15-54-10.294438
R0,10,14,0,31.40948125,12.65158125,2719.1718750000005,2024-11-12_15-54-11.583724
R0,11,14,0,31.80953125,12.65158125,2719.1718750000005,2024-11-12_15-54-12.889437
R0,12,14,0,32.20958125,12.65158125,2719.1718750000005,2024-11-12_15-54-14.190694
R0,13,14,0,32.60963125,12.65158125,2719.1718750000005,2024-11-12_15-54-15.512040
R0,14,14,0,33.00968125,12.65158125,2719.1718750000005,2024-11-12_15-54-16.852947
R1,0,0,0,27.40898125,16.050815625,2711.671875,2024-11-12_15-54-19.066602
R1,1,0,0,27.80903125,16.050815625,2711.671875,2024-11-12_15-54-20.433864
R1,2,0,0,28.20908125,16.050815625,2711.671875,2024-11-12_15-54-21.830115
R1,3,0,0,28.60913125,16.050815625,2711.671875,2024-11-12_15-54-23.238889
R1,4,0,0,29.00918125,16.050815625,2711.671875,2024-11-12_15-54-24.633366
R1,5,0,0,29.40923125,16.050815625,2711.671875,2024-11-12_15-54-26.021476
R1,6,0,0,29.80928125,16.050815625,2711.671875,2024-11-12_15-54-27.407167
R1,7,0,0,30.20933125,16.050815625,2711.671875,2024-11-12_15-54-28.784557
R1,8,0,0,30.60938125,16.050815625,2711.671875,2024-11-12_15-54-30.201525
R1,9,0,0,31.00943125,16.050815625,2711.671875,2024-11-12_15-54-31.645974
R1,10,0,0,31.40948125,16.050815625,2711.671875,2024-11-12_15-54-32.979541
R1,11,0,0,31.80953125,16.050815625,2711.671875,2024-11-12_15-54-34.332917
R1,12,0,0,32.20958125,16.050815625,2711.671875,2024-11-12_15-54-35.718565
R1,13,0,0,32.60963125,16.050815625,2711.671875,2024-11-12_15-54-37.083343
R1,14,0,0,33.00968125,16.050815625,2711.671875,2024-11-12_15-54-38.428734
R1,14,1,0,33.00968125,16.450865625,2711.671875,2024-11-12_15-54-39.775448
R1,13,1,0,32.60963125,16.450865625,2711.671875,2024-11-12_15-54-41.120061
R1,12,1,0,32.20958125,16.450865625,2711.671875,2024-11-12_15-54-42.447711
R1,11,1,0,31.80953125,16.450865625,2711.671875,2024-11-12_15-54-43.755156
R1,10,1,0,31.40948125,16.450865625,2711.671875,2024-11-12_15-54-45.063568
R1,9,1,0,31.00943125,16.450865625,2711.671875,2024-11-12_15-54-46.372993
R1,8,1,0,30.60938125,16.450865625,2711.671875,2024-11-12_15-54-47.668776
R1,7,1,0,30.20933125,16.450865625,2711.671875,2024-11-12_15-54-48.960897
R1,6,1,0,29.80928125,16.450865625,2711.671875,2024-11-12_15-54-50.209372
R1,5,1,0,29.40923125,16.450865625,2711.671875,2024-11-12_15-54-51.479736
R1,4,1,0,29.00918125,16.450865625,2711.671875,2024-11-12_15-54-52.776553
R1,3,1,0,28.60913125,16.450865625,2711.671875,2024-11-12_15-54-54.103405
R1,2,1,0,28.20908125,16.450865625,2711.671875,2024-11-12_15-54-55.420224
R1,1,1,0,27.80903125,16.450865625,2711.671875,2024-11-12_15-54-56.737364
R1,0,1,0,27.40898125,16.450865625,2711.671875,2024-11-12_15-54-58.042300
R1,0,2,0,27.40898125,16.850915625,2711.671875,2024-11-12_15-54-59.344786
R1,1,2,0,27.80903125,16.850915625,2711.671875,2024-11-12_15-55-00.662832
R1,2,2,0,28.20908125,16.850915625,2711.671875,2024-11-12_15-55-02.001528
R1,3,2,0,28.60913125,16.850915625,2711.671875,2024-11-12_15-55-03.305507
R1,4,2,0,29.00918125,16.850915625,2711.671875,2024-11-12_15-55-04.628389
R1,5,2,0,29.40923125,16.850915625,2711.671875,2024-11-12_15-55-05.942183
R1,6,2,0,29.80928125,16.850915625,2711.671875,2024-11-12_15-55-07.295248
R1,7,2,0,30.20933125,16.850915625,2711.671875,2024-11-12_15-55-08.619880
R1,8,2,0,30.60938125,16.850915625,2711.671875,2024-11-12_15-55-09.933347
R1,9,2,0,31.00943125,16.850915625,2711.671875,2024-11-12_15-55-11.251818
R1,10,2,0,31.40948125,16.850915625,2711.671875,2024-11-12_15-55-12.564111
R1,11,2,0,31.80953125,16.850915625,2711.671875,2024-11-12_15-55-13.887382
R1,12,2,0,32.20958125,16.850915625,2711.671875,2024-11-12_15-55-15.191251
R1,13,2,0,32.60963125,16.850915625,2711.671875,2024-11-12_15-55-16.479789
R1,14,2,0,33.00968125,16.850915625,2711.671875,2024-11-12_15-55-17.760756
R1,14,3,0,33.00968125,17.250965625,2711.671875,2024-11-12_15-55-19.038950
R1,13,3,0,32.60963125,17.250965625,2711.671875,2024-11-12_15-55-20.318107
R1,12,3,0,32.20958125,17.250965625,2711.671875,2024-11-12_15-55-21.609395
R1,11,3,0,31.80953125,17.250965625,2711.671875,2024-11-12_15-55-22.875293
R1,10,3,0,31.40948125,17.250965625,2711.671875,2024-11-12_15-55-24.159764
R1,9,3,0,31.00943125,17.250965625,2711.671875,2024-11-12_15-55-25.499871
R1,8,3,0,30.60938125,17.250965625,2711.671875,2024-11-12_15-55-26.819666
R1,7,3,0,30.20933125,17.250965625,2711.671875,2024-11-12_15-55-28.128510
R1,6,3,0,29.80928125,17.250965625,2711.671875,2024-11-12_15-55-29.445082
R1,5,3,0,29.40923125,17.250965625,2711.671875,2024-11-12_15-55-30.758949
R1,4,3,0,29.00918125,17.250965625,2711.671875,2024-11-12_15-55-32.064448
R1,3,3,0,28.60913125,17.250965625,2711.671875,2024-11-12_15-55-33.379644
R1,2,3,0,28.20908125,17.250965625,2711.671875,2024-11-12_15-55-34.705250
R1,1,3,0,27.80903125,17.250965625,2711.671875,2024-11-12_15-55-36.036340
R1,0,3,0,27.40898125,17.250965625,2711.671875,2024-11-12_15-55-37.331858
R1,0,4,0,27.40898125,17.651015625,2711.671875,2024-11-12_15-55-38.661063
R1,1,4,0,27.80903125,17.651015625,2711.671875,2024-11-12_15-55-39.981044
R1,2,4,0,28.20908125,17.651015625,2711.671875,2024-11-12_15-55-41.282065
R1,3,4,0,28.60913125,17.651015625,2711.671875,2024-11-12_15-55-42.597664
R1,4,4,0,29.00918125,17.651015625,2711.671875,2024-11-12_15-55-43.921515
R1,5,4,0,29.40923125,17.651015625,2711.671875,2024-11-12_15-55-45.231337
R1,6,4,0,29.80928125,17.651015625,2711.671875,2024-11-12_15-55-46.550057
R1,7,4,0,30.20933125,17.651015625,2711.671875,2024-11-12_15-55-47.873402
R1,8,4,0,30.60938125,17.651015625,2711.671875,2024-11-12_15-55-49.196889
R1,9,4,0,31.00943125,17.651015625,2711.671875,2024-11-12_15-55-50.492787
R1,10,4,0,31.40948125,17.651015625,2711.671875,2024-11-12_15-55-51.847908
R1,11,4,0,31.80953125,17.651015625,2711.671875,2024-11-12_15-55-53.160153
R1,12,4,0,32.20958125,17.651015625,2711.671875,2024-11-12_15-55-54.466333
R1,13,4,0,32.60963125,17.651015625,2711.671875,2024-11-12_15-55-55.769692
R1,14,4,0,33.00968125,17.651015625,2711.671875,2024-11-12_15-55-57.134633
R1,14,5,0,33.00968125,18.051065625,2711.671875,2024-11-12_15-55-58.507883
R1,13,5,0,32.60963125,18.051065625,2711.671875,2024-11-12_15-55-59.892271
R1,12,5,0,32.20958125,18.051065625,2711.671875,2024-11-12_15-56-01.163273
R1,11,5,0,31.80953125,18.051065625,2711.671875,2024-11-12_15-56-02.413643
R1,10,5,0,31.40948125,18.051065625,2711.671875,2024-11-12_15-56-03.702532
R1,9,5,0,31.00943125,18.051065625,2711.671875,2024-11-12_15-56-05.019977
